course_id,course_name,category,domain,difficulty_level,tags,instructor,rating,estimated_hours,enrollment_count,price,price_category,popularity_score,,
WD023,React Testing Strategies,Framework,Web Development,Intermediate,"Jest, React Testing Library, Component Testing, Integration Tests",Benjamin Clark,4.5,60,11.04,99.99,Premium,6.3,,
WD024,Full-Stack React Development,Framework,Web Development,Advanced,"Next.js, Server-Side Rendering, API Routes, Database Integration",Victoria Rodriguez,4.5,40,9.48,124.99,Mid-range,11.7,,
BF001,Finance 101,Finance,Business,Beginner,"Financial Statements, Time Value of Money, Risk Analysis",Prof. Jennifer Walsh,4.4,50,6.93,64.99,Mid-range,9.68,,
BF002,Corporate Finance Fundamentals,Finance,Business,Intermediate,"Capital Budgeting, Cost of Capital, Financial Planning, Valuation",Dr. Robert Harrison,4.6,60,6.48,74.99,Premium,8.28,,
BF003,Investment Analysis Basics,Finance,Business,Beginner,"Portfolio Theory, Asset Valuation, Market Analysis, Risk Management",Prof. Sarah Mitchell,4.5,70,6.72,69.99,Premium,7.2,,
BF004,Personal Financial Planning,Finance,Business,Beginner,"Budgeting, Retirement Planning, Insurance, Tax Strategies",Lisa Chen,4.7,60,7.35,59.99,Premium,5.64,,
BF005,Financial Markets Overview,Finance,Business,Intermediate,"Stock Markets, Bond Markets, Derivatives, Market Efficiency",Dr. Mark Thompson,4.3,40,6.54,79.99,Mid-range,10.32,,
BF006,Banking and Credit Fundamentals,Finance,Business,Beginner,"Credit Analysis, Loan Products, Banking Operations, Interest Rates",Amanda Williams,4.4,50,7.08,64.99,Mid-range,12.32,,
BF001,Finance 101,Finance,Business,Beginner,"Financial Statements, Time Value of Money, Risk Analysis",Prof. Jennifer Walsh,4.6,40,1650,64.99,Premium,4.6,,
BF002,Excel for Business,Tools,Business,Intermediate,"Advanced Excel Functions, Pivot Tables, Data Analysis, VBA",Mark Anderson,4.4,30,3800,49.99,Mid-range,6.3,,
BF003,Economics 101,Economics,Business,Beginner,"Microeconomics, Macroeconomics, Market Analysis",Dr. Rachel Green,4.1,60,2200,59.99,Mid-range,9.4,,
DG001,UX Principles,UX Design,Design,Beginner,"User Research, Wireframing, Prototyping, Usability Testing",Sophie Taylor,4.6,50,2100,74.99,Premium,5.52,,
DG002,Visual Design,Visual Design,Design,Intermediate,"Typography, Color Theory, Layout Design, Brand Identity",Alex Parker,4.5,40,1800,69.99,Mid-range,6.16,,
CS001,Network Basics,Networking,Cybersecurity,Beginner,"TCP/IP, OSI Model, Network Protocols, Basic Security",James Wilson,4.3,40,1400,59.99,Premium,4.95,,
CS002,OS Fundamentals,Operating Systems,Cybersecurity,Intermediate,"Linux, Windows Security, File Systems, Process Management",Maria Gonzalez,4.4,50,1200,69.99,Premium,3.68,,
CS003,Ethical Hacking,Security,Cybersecurity,Advanced,"Penetration Testing, Vulnerability Assessment, Security Tools",Dr. Robert Black,4.8,80,980,149.99,Mid-range,9.24,,
GD001,Unity Basics,Game Engine,Game Development,Beginner,"Unity Interface, GameObjects, Scripts, Physics",Tom Bradley,4.5,60,1600,79.99,Premium,7.92,,
GD002,Game Mechanics,Game Design,Game Development,Intermediate,"Game Balance, Player Engagement, Level Design, UI/UX for Games",Jessica Lee,4.6,50,1100,84.99,Mid-range,13.76,,
CC001,Cloud Basics,Cloud Computing,Cloud,Beginner,"Cloud Concepts, Service Models, Deployment Models",Ryan Moore,4.2,30,2000,54.99,Mid-range,8.55,,
CC002,Intro to AWS,Cloud Platform,Cloud,Intermediate,"EC2, S3, IAM, VPC, Lambda, CloudFormation",Linda Chang,4.7,60,2800,94.99,Mid-range,11.44,,
HR001,HR Fundamentals,Human Resources,Business,Beginner,"Recruitment, Performance Management, Employee Relations",Patricia Davis,4.3,40,1300,59.99,Mid-range,6.88,,
HR002,Workplace Ethics,Ethics,Business,Beginner,"Business Ethics, Compliance, Diversity & Inclusion",Dr. Steven White,4.1,20,900,39.99,Premium,5.4,,
PM001,Product Strategy,Strategy,Product Management,Intermediate,"Market Research, Product Roadmaps, Competitive Analysis",Michelle Brown,4.5,50,1500,89.99,Mid-range,4.2,,
PM002,Agile Methods,Methodology,Product Management,Intermediate,"Scrum, Kanban, Sprint Planning, Retrospectives",Daniel Miller,4.4,40,2200,69.99,Premium,3.96,,
PF001,OOP Concepts,Programming,Computer Science,Intermediate,"Classes, Objects, Inheritance, Polymorphism, Encapsulation",Dr. Andrew Clark,4.3,40,1800,64.99,Mid-range,10.56,,
PF002,Data Structures,Programming,Computer Science,Advanced,"Arrays, Linked Lists, Trees, Graphs, Hash Tables",Prof. Nancy Adams,4.6,60,1400,79.99,Premium,9.66,,
DS005,Advanced Python,Programming,Data Science,Intermediate,"Advanced Functions, Decorators, Generators, Context Managers",Dr. Sarah Mitchell,4.5,50,2650,74.99,Mid-range,8.1,,
DS006,Data Visualization,Visualization,Data Science,Intermediate,"Matplotlib, Seaborn, Plotly, Dashboard Creation",Prof. Robert Chen,4.4,40,2100,69.99,Premium,10.34,,
DS007,SQL for Data Science,Database,Data Science,Beginner,"SQL Syntax, Joins, Aggregations, Subqueries",Maria Santos,4.6,30,3400,49.99,Premium,5.52,,
DS008,Time Series Analysis,Statistics,Data Science,Advanced,"ARIMA, Seasonal Decomposition, Forecasting, Prophet",Dr. James Liu,4.7,70,1200,119.99,Premium,4.5,,
DS009,Natural Language Processing,AI/ML,Data Science,Advanced,"Text Processing, Sentiment Analysis, NLTK, spaCy",Dr. Elena Petrov,4.8,80,1800,139.99,Premium,6.44,,
DS010,Big Data Analytics,Big Data,Data Science,Advanced,"Hadoop, Spark, Kafka, Data Pipeline Design",Prof. David Kumar,4.6,90,950,159.99,Mid-range,7.04,,
DS011,R Programming,Programming,Data Science,Beginner,"R Syntax, Data Manipulation, Statistical Analysis, ggplot2",Dr. Lisa Harper,4.3,40,1750,64.99,Premium,4.95,,
DS012,Pandas Mastery,Programming,Data Science,Intermediate,"DataFrame Operations, Data Cleaning, Merging, Grouping",Carlos Mendez,4.5,30,2200,54.99,Mid-range,5.16,,
DS013,NumPy Fundamentals,Programming,Data Science,Beginner,"Array Operations, Mathematical Functions, Broadcasting",Prof. Angela White,4.4,20,2800,39.99,Premium,3.52,,
DS014,Scikit-learn Workshop,Machine Learning,Data Science,Intermediate,"Model Selection, Cross-validation, Hyperparameter Tuning",Dr. Michael Torres,4.6,50,2000,84.99,Premium,5.98,,
DS015,Statistical Modeling,Statistics,Data Science,Advanced,"Linear Models, GLM, Bayesian Analysis, Model Validation",Prof. Rebecca Adams,4.5,60,1400,99.99,Mid-range,8.6,,
WD005,CSS3 Advanced,Frontend,Web Development,Intermediate,"CSS Animations, Transforms, Custom Properties, CSS Grid",Sophie Chen,4.5,40,2600,59.99,Premium,3.76,,
WD006,Node.js Fundamentals,Backend,Web Development,Intermediate,"Express.js, NPM, Asynchronous Programming, RESTful APIs",Mark Johnson,4.4,50,2200,79.99,Premium,2.76,,
WD007,Vue.js Development,Framework,Web Development,Advanced,"Vue Components, Vuex, Vue Router, Composition API",Dr. Amanda Rodriguez,4.6,60,1800,94.99,Premium,4.05,,
WD008,Angular Essentials,Framework,Web Development,Advanced,"Angular Components, Services, Routing, RxJS",Prof. Kevin Park,4.5,70,1600,109.99,Premium,5.28,,
WD009,Web Security,Security,Web Development,Advanced,"OWASP, XSS Prevention, CSRF, Authentication, Authorization",Dr. Lisa Black,4.7,40,1200,89.99,Premium,4.7,,
WD010,WordPress Development,CMS,Web Development,Intermediate,"WordPress Themes, Plugins, Custom Post Types, Hooks",Carlos Martinez,4.3,50,2400,69.99,Mid-range,4.73,,
WD011,Responsive Web Design,Design,Web Development,Intermediate,"Media Queries, Mobile-First Design, Progressive Enhancement",Emma Davis,4.4,30,2800,54.99,Premium,2.4,,
WD012,Web Performance,Optimization,Web Development,Advanced,"Lazy Loading, Code Splitting, Performance Metrics, Optimization",Dr. Ryan Thompson,4.6,40,1000,94.99,Budget,10.08,,
WD013,GraphQL Fundamentals,API,Web Development,Advanced,"GraphQL Schema, Queries, Mutations, Apollo Server",Prof. Jennifer Kim,4.5,30,1400,79.99,Premium,3.52,,
WD014,TypeScript Essentials,Programming,Web Development,Intermediate,"Type Annotations, Interfaces, Generics, Modules",Michael Brown,4.7,40,2000,69.99,Premium,2.76,,
WD015,Progressive Web Apps,Framework,Web Development,Advanced,"Service Workers, Offline Functionality, Push Notifications",Dr. Sarah Wilson,4.6,50,1200,99.99,Premium,3.87,,
BF004,Investment Analysis,Finance,Business,Intermediate,"Portfolio Theory, Risk Assessment, Asset Valuation, Financial Markets",Prof. William Davis,4.4,50,1400,79.99,Premium,1.88,,
BF005,Corporate Finance,Finance,Business,Advanced,"Capital Structure, Valuation, M&A, Financial Planning",Dr. Patricia Moore,4.5,60,1100,99.99,Premium,5.52,,
BF006,Financial Modeling,Finance,Business,Advanced,"DCF Models, Scenario Analysis, Sensitivity Analysis, Excel VBA",Prof. Robert Taylor,4.6,70,800,129.99,Mid-range,7.92,,
BF007,Accounting Fundamentals,Accounting,Business,Beginner,"Financial Statements, Journal Entries, Trial Balance, Cash Flow",Maria Gonzalez,4.2,40,2200,59.99,Premium,4.7,,
BF008,Business Strategy,Strategy,Business,Intermediate,"Strategic Planning, Competitive Analysis, SWOT, Porter's Five Forces",Dr. James Anderson,4.4,50,1800,84.99,Premium,6.3,,
BF009,Digital Marketing,Marketing,Business,Beginner,"SEO, Social Media, Content Marketing, Email Marketing",Lisa Rodriguez,4.3,40,3200,64.99,Premium,7.04,,
BF010,Data Analytics for Business,Analytics,Business,Intermediate,"Business Intelligence, KPIs, Reporting, Data-Driven Decisions",Dr. Kevin Chen,4.5,50,1900,79.99,Mid-range,3.44,,
BF011,Project Management,Management,Business,Intermediate,"Project Planning, Risk Management, Resource Allocation, Gantt Charts",Prof. Nancy White,4.4,40,2600,69.99,Premium,2.76,,
BF012,Leadership Skills,Management,Business,Intermediate,"Team Building, Communication, Conflict Resolution, Motivation",Dr. Steven Brown,4.3,30,1600,59.99,Mid-range,5.04,,
BF013,Entrepreneurship,Business,Business,Intermediate,"Business Plans, Startup Funding, Market Validation, Lean Startup",Michelle Garcia,4.5,60,1200,89.99,Mid-range,4.3,,
BF014,Supply Chain Management,Operations,Business,Intermediate,"Logistics, Inventory Management, Supplier Relations, Optimization",Prof. Daniel Kim,4.2,50,1000,74.99,Mid-range,6.16,,
BF015,International Business,Business,Business,Advanced,"Global Markets, Cultural Differences, Trade Regulations, Currency",Dr. Elena Martinez,4.4,60,900,94.99,Premium,3.76,,
DG003,Graphic Design Fundamentals,Visual Design,Design,Beginner,"Adobe Creative Suite, Design Principles, Color Theory, Typography",Alex Thompson,4.4,40,2400,69.99,Mid-range,4.95,,
DG004,Adobe Photoshop Mastery,Tools,Design,Intermediate,"Photo Editing, Compositing, Retouching, Digital Art",Prof. Sarah Kim,4.6,50,2100,84.99,Mid-range,2.58,,
DG005,Illustrator for Designers,Tools,Design,Intermediate,"Vector Graphics, Logo Design, Illustrations, Typography",Carlos Wilson,4.5,40,1800,79.99,Premium,10.8,,
DG006,UI/UX Design,UX Design,Design,Intermediate,"Interface Design, User Testing, Design Systems, Figma",Dr. Amanda Taylor,4.7,60,2200,94.99,Premium,8.8,,
DG007,Motion Graphics,Animation,Design,Advanced,"After Effects, Animation Principles, Motion Design, Video Editing",Prof. Michael Rodriguez,4.6,70,1200,119.99,Mid-range,10.12,,
DG008,Brand Identity Design,Branding,Design,Advanced,"Logo Design, Brand Guidelines, Corporate Identity, Market Research",Lisa Chen,4.5,50,1000,99.99,Premium,7.52,,
DG009,Web Design Advanced,Web Design,Design,Advanced,"Responsive Design, Interaction Design, Accessibility, Design Systems",Dr. Kevin Johnson,4.6,60,1400,89.99,Premium,6.3,,
DG010,Design Thinking,Design Process,Design,Intermediate,"Problem Solving, Ideation, Prototyping, Testing, Innovation",Prof. Jennifer Davis,4.4,40,1600,74.99,Premium,5.52,,
DG011,3D Design Basics,3D Design,Design,Intermediate,"Blender, 3D Modeling, Texturing, Rendering, Animation",Dr. Robert Park,4.5,60,1100,94.99,Mid-range,7.74,,
DG012,Print Design,Print,Design,Intermediate,"Layout Design, Typography, Prepress, Color Management",Maria Santos,4.3,30,1200,64.99,Premium,4.4,,
DG013,Package Design,Product Design,Design,Advanced,"Packaging Concepts, Die-cutting, Sustainability, Consumer Psychology",Carlos Anderson,4.4,40,800,89.99,Mid-range,6.72,,
DG014,Digital Illustration,Illustration,Design,Intermediate,"Character Design, Concept Art, Digital Painting, Stylization",Dr. Angela White,4.6,50,1300,84.99,Premium,3.6,,
DG015,Photography Basics,Photography,Design,Beginner,"Camera Settings, Composition, Lighting, Photo Editing",Prof. Lisa Martinez,4.3,30,2000,54.99,Mid-range,5.28,,
CS004,Cryptography,Security,Cybersecurity,Advanced,"Encryption, Hashing, Digital Signatures, PKI, Blockchain",Dr. Michael Chen,4.7,60,800,129.99,Premium,2.58,,
CS005,Incident Response,Security,Cybersecurity,Advanced,"Forensics, Threat Hunting, Malware Analysis, Recovery Procedures",Prof. Sarah Black,4.6,50,600,119.99,Premium,4.5,,
CS006,Cloud Security,Security,Cybersecurity,Advanced,"AWS Security, Azure Security, Compliance, Identity Management",Dr. Kevin Rodriguez,4.5,70,900,139.99,Mid-range,5.28,,
CS007,Mobile Security,Security,Cybersecurity,Intermediate,"iOS Security, Android Security, App Security, Mobile Threats",Maria Thompson,4.4,40,1200,89.99,Mid-range,4.3,,
CS008,Web Application Security,Security,Cybersecurity,Advanced,"OWASP Top 10, SQL Injection, XSS, Secure Coding",Dr. James Wilson,4.7,60,1000,109.99,Mid-range,6.3,,
CS009,Risk Assessment,Security,Cybersecurity,Intermediate,"Risk Analysis, Compliance, Audit, Security Frameworks",Prof. Lisa Davis,4.3,30,1100,74.99,Premium,3.36,,
CS010,Digital Forensics,Forensics,Cybersecurity,Advanced,"Evidence Collection, Chain of Custody, Analysis Tools, Legal Issues",Dr. Robert Garcia,4.8,80,500,159.99,Premium,2.64,,
CS011,Security Awareness,Training,Cybersecurity,Beginner,"Phishing, Social Engineering, Password Security, Best Practices",Amanda Martinez,4.2,20,2400,39.99,Premium,3.01,,
CS012,Vulnerability Management,Security,Cybersecurity,Intermediate,"Vulnerability Scanning, Patch Management, Risk Prioritization",Dr. Steven Kim,4.4,40,800,84.99,Mid-range,8.28,,
CS013,Security Architecture,Architecture,Cybersecurity,Advanced,"Security Design, Zero Trust, Defense in Depth, Threat Modeling",Prof. Jennifer Chen,4.6,70,600,129.99,Mid-range,5.28,,
CS014,Compliance Management,Compliance,Cybersecurity,Intermediate,"GDPR, HIPAA, SOX, PCI DSS, Audit Preparation",Dr. Carlos Brown,4.3,50,900,94.99,Premium,4.5,,
CS015,Malware Analysis,Security,Cybersecurity,Advanced,"Static Analysis, Dynamic Analysis, Reverse Engineering, Sandboxing",Maria Rodriguez,4.7,60,400,149.99,Mid-range,3.87,,
GD003,Unreal Engine Basics,Game Engine,Game Development,Intermediate,"Unreal Interface, Blueprints, Materials, Lighting, Animation",Dr. Tom Wilson,4.6,70,1200,99.99,Mid-range,4.62,,
GD004,2D Game Development,Game Development,Game Development,Beginner,"Sprite Animation, Collision Detection, Game Physics, UI Design",Jessica Martinez,4.4,50,1800,74.99,Premium,2.64,,
GD005,3D Game Programming,Programming,Game Development,Advanced,"3D Mathematics, Shaders, Optimization, Multiplayer Networking",Prof. David Kim,4.7,80,1000,129.99,Premium,3.6,,
GD006,Game Art and Animation,Art,Game Development,Intermediate,"Character Design, Environment Art, Rigging, Animation Principles",Dr. Sarah Thompson,4.5,60,1400,89.99,Premium,5.52,,
GD007,Mobile Game Development,Mobile,Game Development,Intermediate,"Touch Controls, Mobile Optimization, App Store Deployment, Monetization",Carlos Chen,4.4,50,1600,84.99,Mid-range,6.16,,
GD008,Game Audio Design,Audio,Game Development,Intermediate,"Sound Effects, Music Composition, Audio Implementation, Spatial Audio",Prof. Lisa Garcia,4.3,40,800,79.99,Premium,7.2,,
GD009,Virtual Reality Games,VR,Game Development,Advanced,"VR Interaction, Comfort Settings, Spatial Design, VR Optimization",Dr. Michael Davis,4.6,70,600,139.99,Premium,4.7,,
GD010,Game Marketing,Marketing,Game Development,Intermediate,"Steam Marketing, App Store Optimization, Community Building, PR",Amanda Rodriguez,4.2,30,1200,64.99,Premium,3.44,,
GD011,Indie Game Business,Business,Game Development,Intermediate,"Game Monetization, Publishing, Legal Issues, Team Management",Prof. Kevin Martinez,4.3,40,1000,74.99,Premium,5.28,,
GD012,Game Testing and QA,Testing,Game Development,Beginner,"Bug Tracking, Test Planning, User Testing, Quality Assurance",Dr. Jennifer Wilson,4.4,30,1400,59.99,Premium,4.6,,
GD013,Multiplayer Game Development,Networking,Game Development,Advanced,"Network Architecture, Synchronization, Lag Compensation, Security",Prof. Robert Kim,4.7,80,800,149.99,Mid-range,3.78,,
GD014,Game Narrative Design,Writing,Game Development,Intermediate,"Storytelling, Character Development, Dialogue Systems, Branching Narratives",Dr. Angela Chen,4.5,40,1100,79.99,Premium,2.7,,
GD015,Game Localization,Localization,Game Development,Intermediate,"Translation, Cultural Adaptation, Testing, International Markets",Maria Brown,4.3,30,600,69.99,Premium,5.17,,
CC003,Microsoft Azure,Cloud Platform,Cloud,Intermediate,"Azure Services, Virtual Machines, Storage, Networking, DevOps",Dr. Lisa Thompson,4.5,60,2400,94.99,Premium,3.01,,
CC004,Google Cloud Platform,Cloud Platform,Cloud,Intermediate,"GCP Services, Compute Engine, Cloud Storage, BigQuery, Kubernetes",Prof. Kevin Davis,4.4,60,2000,89.99,Mid-range,5.72,,
CC005,Docker Fundamentals,Containerization,Cloud,Intermediate,"Containers, Docker Images, Dockerfile, Docker Compose, Registry",Dr. Sarah Martinez,4.6,40,2200,74.99,Premium,2.1,,
CC006,Kubernetes Mastery,Orchestration,Cloud,Advanced,"Pods, Services, Deployments, ConfigMaps, Secrets, Ingress",Prof. Michael Rodriguez,4.7,70,1600,119.99,Premium,5.64,,
CC007,Serverless Computing,Serverless,Cloud,Advanced,"Lambda Functions, API Gateway, Event-Driven Architecture, Microservices",Dr. Amanda Wilson,4.5,50,1400,99.99,Mid-range,7.92,,
CC008,Cloud DevOps,DevOps,Cloud,Advanced,"CI/CD, Infrastructure as Code, Monitoring, Automation",Carlos Kim,4.6,60,1200,109.99,Premium,6.44,,
CC009,Cloud Storage Solutions,Storage,Cloud,Intermediate,"Object Storage, Block Storage, File Systems, Backup, Archiving",Dr. Jennifer Chen,4.3,30,1800,69.99,Mid-range,4.3,,
CC010,Cloud Networking,Networking,Cloud,Advanced,"VPC, Subnets, Load Balancers, CDN, Security Groups",Prof. Robert Garcia,4.4,50,1000,89.99,Premium,4.05,,
CC011,Cloud Cost Optimization,Cost Management,Cloud,Intermediate,"Cost Analysis, Resource Optimization, Budgeting, Reserved Instances",Maria Davis,4.2,30,1600,64.99,Premium,2.82,,
CC012,Cloud Migration,Migration,Cloud,Advanced,"Migration Strategies, Assessment, Planning, Execution, Optimization",Dr. Steven Martinez,4.5,70,800,129.99,Premium,3.68,,
CC013,Cloud Monitoring,Monitoring,Cloud,Intermediate,"Logging, Metrics, Alerting, Dashboards, Performance Monitoring",Prof. Lisa Rodriguez,4.4,40,1200,79.99,Premium,3.36,,
CC014,Multi-Cloud Strategy,Strategy,Cloud,Advanced,"Cloud Comparison, Vendor Management, Hybrid Cloud, Risk Management",Dr. Kevin Thompson,4.3,50,600,109.99,Premium,2.35,,
CC015,Cloud Disaster Recovery,Disaster Recovery,Cloud,Advanced,"Backup Strategies, RTO/RPO, Failover, Business Continuity",Amanda Brown,4.5,40,1000,94.99,Premium,3.6,,
HR003,Talent Acquisition,Recruitment,Business,Intermediate,"Sourcing, Interviewing, Candidate Assessment, Onboarding",Dr. Patricia Wilson,4.4,40,1200,69.99,Premium,5.28,,
HR004,Performance Management,Management,Business,Intermediate,"Goal Setting, Feedback, Performance Reviews, Development Planning",Prof. James Kim,4.3,30,1000,59.99,Mid-range,6.02,,
HR005,Employee Engagement,Engagement,Business,Intermediate,"Motivation, Retention, Culture, Communication, Recognition",Dr. Sarah Garcia,4.5,40,1400,74.99,Premium,7.2,,
HR006,Compensation and Benefits,Compensation,Business,Advanced,"Salary Structures, Benefits Design, Equity, Market Analysis",Maria Chen,4.2,50,800,89.99,Mid-range,9.68,,
HR007,HR Analytics,Analytics,Business,Advanced,"People Analytics, Metrics, Reporting, Predictive Analytics",Dr. Michael Rodriguez,4.4,60,600,99.99,Mid-range,7.74,,
HR008,Labor Relations,Relations,Business,Advanced,"Union Relations, Collective Bargaining, Grievance Handling, Labor Law",Prof. Jennifer Davis,4.3,50,700,84.99,Mid-range,9.2,,
HR009,Diversity and Inclusion,Diversity,Business,Intermediate,"Inclusive Hiring, Bias Training, Cultural Competency, DEI Strategy",Dr. Lisa Martinez,4.6,30,1800,64.99,Premium,5.4,,
HR010,Training and Development,Training,Business,Intermediate,"Learning Design, Skills Assessment, Career Development, Coaching",Carlos Thompson,4.4,40,1200,69.99,Mid-range,7.04,,
