course_id,course_name,category,domain,difficulty_level,tags,prerequisites,description,instructor,enrollment_count,price,price_category,rating,duration_weeks,estimated_hours,popularity_score,,
GD001,Unity Basics,Game Engine,Game Development,Beginner,"Unity Interface, GameObjects, Scripts, Physics",Basic Programming Knowledge,Start creating games with Unity engine,Tom Bradley,1600,79.99,Mid-range,4.5,12,60,7.2,,
GD002,Game Mechanics,Game Design,Game Development,Intermediate,"Game Balance, Player Engagement, Level Design, UI/UX for Games",Unity Basics,Design engaging game mechanics and experiences,Jessica Lee,1100,84.99,Premium,4.6,10,50,5.06,,
CC001,Cloud Basics,Cloud Computing,Cloud,Beginner,"Cloud Concepts, Service Models, Deployment Models",None,Introduction to cloud computing fundamentals,Ryan Moore,2000,54.99,Mid-range,4.2,6,30,8.4,,
CC002,Intro to AWS,Cloud Platform,Cloud,Intermediate,"EC2, S3, IAM, VPC, Lambda, CloudFormation",Cloud Basics,Get started with Amazon Web Services,Linda Chang,2800,94.99,Premium,4.7,12,60,13.16,,
HR001,HR Fundamentals,Human Resources,Business,Beginner,"Recruitment, Performance Management, Employee Relations",None,Essential human resources management principles,Patricia Davis,1300,59.99,Mid-range,4.3,8,40,5.59,,
HR002,Workplace Ethics,Ethics,Business,Beginner,"Business Ethics, Compliance, Diversity & Inclusion",None,Navigate ethical challenges in the workplace,Dr. Steven White,900,39.99,Budget,4.1,4,20,3.69,,
PM001,Product Strategy,Strategy,Product Management,Intermediate,"Market Research, Product Roadmaps, Competitive Analysis",Business Experience Recommended,Develop winning product strategies,Michelle Brown,1500,89.99,Premium,4.5,10,50,6.75,,
PM002,Agile Methods,Methodology,Product Management,Intermediate,"Scrum, Kanban, Sprint Planning, Retrospectives",None,Master agile project management methodologies,Daniel Miller,2200,69.99,Mid-range,4.4,8,40,9.68,,
PF001,OOP Concepts,Programming,Computer Science,Intermediate,"Classes, Objects, Inheritance, Polymorphism, Encapsulation",Basic Programming,Master object-oriented programming principles,Dr. Andrew Clark,1800,64.99,Mid-range,4.3,8,40,7.74,,
PF002,Data Structures,Programming,Computer Science,Advanced,"Arrays, Linked Lists, Trees, Graphs, Hash Tables",OOP Concepts,Essential data structures for efficient programming,Prof. Nancy Adams,1400,79.99,Mid-range,4.6,12,60,6.44,,
DS005,Advanced Python,Programming,Data Science,Intermediate,"Advanced Functions, Decorators, Generators, Context Managers",Intro to Python,Advanced Python programming techniques for data science,Dr. Sarah Mitchell,2650,74.99,Mid-range,4.5,10,50,11.93,,
DS006,Data Visualization,Visualization,Data Science,Intermediate,"Matplotlib, Seaborn, Plotly, Dashboard Creation","Python, Statistics",Create compelling data visualizations and dashboards,Prof. Robert Chen,2100,69.99,Mid-range,4.4,8,40,9.24,,
DS007,SQL for Data Science,Database,Data Science,Beginner,"SQL Syntax, Joins, Aggregations, Subqueries",None,Master SQL for data analysis and database management,Maria Santos,3400,49.99,Budget,4.6,6,30,15.64,,
DS008,Time Series Analysis,Statistics,Data Science,Advanced,"ARIMA, Seasonal Decomposition, Forecasting, Prophet","Statistics, Python",Advanced time series analysis and forecasting techniques,Dr. James Liu,1200,119.99,Premium,4.7,14,70,5.64,,
DS009,Natural Language Processing,AI/ML,Data Science,Advanced,"Text Processing, Sentiment Analysis, NLTK, spaCy","ML Basics, Python",Comprehensive NLP course with practical applications,Dr. Elena Petrov,1800,139.99,Premium,4.8,16,80,8.64,,
DS010,Big Data Analytics,Big Data,Data Science,Advanced,"Hadoop, Spark, Kafka, Data Pipeline Design","Python, SQL",Handle and analyze large-scale data with modern tools,Prof. David Kumar,950,159.99,Premium,4.6,18,90,4.37,,
DS011,R Programming,Programming,Data Science,Beginner,"R Syntax, Data Manipulation, Statistical Analysis, ggplot2",Basic Math,Learn R programming for statistical analysis and visualization,Dr. Lisa Harper,1750,64.99,Mid-range,4.3,8,40,7.53,,
DS012,Pandas Mastery,Programming,Data Science,Intermediate,"DataFrame Operations, Data Cleaning, Merging, Grouping",Intro to Python,Master pandas library for data manipulation,Carlos Mendez,2200,54.99,Mid-range,4.5,6,30,9.9,,
DS013,NumPy Fundamentals,Programming,Data Science,Beginner,"Array Operations, Mathematical Functions, Broadcasting",Intro to Python,Essential NumPy for numerical computing in Python,Prof. Angela White,2800,39.99,Budget,4.4,4,20,12.32,,
DS014,Scikit-learn Workshop,Machine Learning,Data Science,Intermediate,"Model Selection, Cross-validation, Hyperparameter Tuning",ML Basics,Hands-on machine learning with scikit-learn,Dr. Michael Torres,2000,84.99,Premium,4.6,10,50,9.2,,
DS015,Statistical Modeling,Statistics,Data Science,Advanced,"Linear Models, GLM, Bayesian Analysis, Model Validation","Statistics, R Programming",Advanced statistical modeling techniques,Prof. Rebecca Adams,1400,99.99,Premium,4.5,12,60,6.3,,
WD005,CSS3 Advanced,Frontend,Web Development,Intermediate,"CSS Animations, Transforms, Custom Properties, CSS Grid",Web Design Basics,Advanced CSS techniques for modern web design,Sophie Chen,2600,59.99,Mid-range,4.5,8,40,11.7,,
WD006,Node.js Fundamentals,Backend,Web Development,Intermediate,"Express.js, NPM, Asynchronous Programming, RESTful APIs",JavaScript Essentials,Server-side JavaScript development with Node.js,Mark Johnson,2200,79.99,Mid-range,4.4,10,50,9.68,,
WD007,Vue.js Development,Framework,Web Development,Advanced,"Vue Components, Vuex, Vue Router, Composition API",JavaScript Essentials,Build dynamic web applications with Vue.js,Dr. Amanda Rodriguez,1800,94.99,Premium,4.6,12,60,8.28,,
WD008,Angular Essentials,Framework,Web Development,Advanced,"Angular Components, Services, Routing, RxJS",JavaScript Essentials,Enterprise web development with Angular,Prof. Kevin Park,1600,109.99,Premium,4.5,14,70,7.2,,
WD009,Web Security,Security,Web Development,Advanced,"OWASP, XSS Prevention, CSRF, Authentication, Authorization","JavaScript Essentials, Node.js Fundamentals",Secure web application development practices,Dr. Lisa Black,1200,89.99,Premium,4.7,8,40,5.64,,
WD010,WordPress Development,CMS,Web Development,Intermediate,"WordPress Themes, Plugins, Custom Post Types, Hooks",HTML5 Fundamentals,Build custom WordPress websites and plugins,Carlos Martinez,2400,69.99,Mid-range,4.3,10,50,10.32,,
WD011,Responsive Web Design,Design,Web Development,Intermediate,"Media Queries, Mobile-First Design, Progressive Enhancement",Web Design Basics,Create websites that work on all devices,Emma Davis,2800,54.99,Mid-range,4.4,6,30,12.32,,
WD012,Web Performance,Optimization,Web Development,Advanced,"Lazy Loading, Code Splitting, Performance Metrics, Optimization","JavaScript Essentials, Node.js Fundamentals",Optimize web applications for speed and performance,Dr. Ryan Thompson,1000,94.99,Premium,4.6,8,40,4.6,,
WD013,GraphQL Fundamentals,API,Web Development,Advanced,"GraphQL Schema, Queries, Mutations, Apollo Server",Node.js Fundamentals,Modern API development with GraphQL,Prof. Jennifer Kim,1400,79.99,Mid-range,4.5,6,30,6.3,,
WD014,TypeScript Essentials,Programming,Web Development,Intermediate,"Type Annotations, Interfaces, Generics, Modules",JavaScript Essentials,Strongly-typed JavaScript development,Michael Brown,2000,69.99,Mid-range,4.7,8,40,9.4,,
WD015,Progressive Web Apps,Framework,Web Development,Advanced,"Service Workers, Offline Functionality, Push Notifications","JavaScript Essentials, Web Design Basics",Build app-like web experiences,Dr. Sarah Wilson,1200,99.99,Premium,4.6,10,50,5.52,,
BF004,Investment Analysis,Finance,Business,Intermediate,"Portfolio Theory, Risk Assessment, Asset Valuation, Financial Markets",Finance 101,Learn investment strategies and portfolio management,Prof. William Davis,1400,79.99,Mid-range,4.4,10,50,6.16,,
BF005,Corporate Finance,Finance,Business,Advanced,"Capital Structure, Valuation, M&A, Financial Planning","Finance 101, Investment Analysis",Advanced corporate financial management,Dr. Patricia Moore,1100,99.99,Premium,4.5,12,60,4.95,,
BF006,Financial Modeling,Finance,Business,Advanced,"DCF Models, Scenario Analysis, Sensitivity Analysis, Excel VBA","Finance 101, Excel for Business",Build comprehensive financial models,Prof. Robert Taylor,800,129.99,Premium,4.6,14,70,3.68,,
BF007,Accounting Fundamentals,Accounting,Business,Beginner,"Financial Statements, Journal Entries, Trial Balance, Cash Flow",Basic Math,Essential accounting principles for business,Maria Gonzalez,2200,59.99,Mid-range,4.2,8,40,9.24,,
BF008,Business Strategy,Strategy,Business,Intermediate,"Strategic Planning, Competitive Analysis, SWOT, Porter's Five Forces",Business Experience Recommended,Develop winning business strategies,Dr. James Anderson,1800,84.99,Premium,4.4,10,50,7.92,,
BF009,Digital Marketing,Marketing,Business,Beginner,"SEO, Social Media, Content Marketing, Email Marketing",None,Comprehensive digital marketing strategies,Lisa Rodriguez,3200,64.99,Mid-range,4.3,8,40,13.76,,
BF010,Data Analytics for Business,Analytics,Business,Intermediate,"Business Intelligence, KPIs, Reporting, Data-Driven Decisions",Excel for Business,Use data analytics to drive business decisions,Dr. Kevin Chen,1900,79.99,Mid-range,4.5,10,50,8.55,,
BF011,Project Management,Management,Business,Intermediate,"Project Planning, Risk Management, Resource Allocation, Gantt Charts",None,Essential project management skills,Prof. Nancy White,2600,69.99,Mid-range,4.4,8,40,11.44,,
BF012,Leadership Skills,Management,Business,Intermediate,"Team Building, Communication, Conflict Resolution, Motivation",None,Develop effective leadership capabilities,Dr. Steven Brown,1600,59.99,Mid-range,4.3,6,30,6.88,,
BF013,Entrepreneurship,Business,Business,Intermediate,"Business Plans, Startup Funding, Market Validation, Lean Startup",None,Launch and grow successful businesses,Michelle Garcia,1200,89.99,Premium,4.5,12,60,5.4,,
BF014,Supply Chain Management,Operations,Business,Intermediate,"Logistics, Inventory Management, Supplier Relations, Optimization",None,Optimize supply chain operations,Prof. Daniel Kim,1000,74.99,Mid-range,4.2,10,50,4.2,,
BF015,International Business,Business,Business,Advanced,"Global Markets, Cultural Differences, Trade Regulations, Currency",Business Strategy,Navigate international business environments,Dr. Elena Martinez,900,94.99,Premium,4.4,12,60,3.96,,
DG003,Graphic Design Fundamentals,Visual Design,Design,Beginner,"Adobe Creative Suite, Design Principles, Color Theory, Typography",None,Master the fundamentals of graphic design,Alex Thompson,2400,69.99,Mid-range,4.4,8,40,10.56,,
DG004,Adobe Photoshop Mastery,Tools,Design,Intermediate,"Photo Editing, Compositing, Retouching, Digital Art",Graphic Design Fundamentals,Advanced Photoshop techniques for designers,Prof. Sarah Kim,2100,84.99,Premium,4.6,10,50,9.66,,
DG005,Illustrator for Designers,Tools,Design,Intermediate,"Vector Graphics, Logo Design, Illustrations, Typography",Graphic Design Fundamentals,Create stunning vector graphics with Illustrator,Carlos Wilson,1800,79.99,Mid-range,4.5,8,40,8.1,,
DG006,UI/UX Design,UX Design,Design,Intermediate,"Interface Design, User Testing, Design Systems, Figma",UX Principles,Design intuitive user interfaces and experiences,Dr. Amanda Taylor,2200,94.99,Premium,4.7,12,60,10.34,,
DG007,Motion Graphics,Animation,Design,Advanced,"After Effects, Animation Principles, Motion Design, Video Editing","Graphic Design Fundamentals, Adobe Photoshop Mastery",Create engaging motion graphics and animations,Prof. Michael Rodriguez,1200,119.99,Premium,4.6,14,70,5.52,,
DG008,Brand Identity Design,Branding,Design,Advanced,"Logo Design, Brand Guidelines, Corporate Identity, Market Research",Graphic Design Fundamentals,Develop compelling brand identities,Lisa Chen,1000,99.99,Premium,4.5,10,50,4.5,,
DG009,Web Design Advanced,Web Design,Design,Advanced,"Responsive Design, Interaction Design, Accessibility, Design Systems","UX Principles, Visual Design",Advanced web design principles and practices,Dr. Kevin Johnson,1400,89.99,Premium,4.6,12,60,6.44,,
DG010,Design Thinking,Design Process,Design,Intermediate,"Problem Solving, Ideation, Prototyping, Testing, Innovation",UX Principles,Apply design thinking to solve complex problems,Prof. Jennifer Davis,1600,74.99,Mid-range,4.4,8,40,7.04,,
DG011,3D Design Basics,3D Design,Design,Intermediate,"Blender, 3D Modeling, Texturing, Rendering, Animation",Graphic Design Fundamentals,Introduction to 3D design and modeling,Dr. Robert Park,1100,94.99,Premium,4.5,12,60,4.95,,
DG012,Print Design,Print,Design,Intermediate,"Layout Design, Typography, Prepress, Color Management",Graphic Design Fundamentals,Design for print media and publications,Maria Santos,1200,64.99,Mid-range,4.3,6,30,5.16,,
DG013,Package Design,Product Design,Design,Advanced,"Packaging Concepts, Die-cutting, Sustainability, Consumer Psychology","Graphic Design Fundamentals, Brand Identity Design",Create effective product packaging designs,Carlos Anderson,800,89.99,Premium,4.4,8,40,3.52,,
DG014,Digital Illustration,Illustration,Design,Intermediate,"Character Design, Concept Art, Digital Painting, Stylization",Illustrator for Designers,Master digital illustration techniques,Dr. Angela White,1300,84.99,Premium,4.6,10,50,5.98,,
DG015,Photography Basics,Photography,Design,Beginner,"Camera Settings, Composition, Lighting, Photo Editing",None,Learn fundamental photography skills,Prof. Lisa Martinez,2000,54.99,Mid-range,4.3,6,30,8.6,,
CS004,Cryptography,Security,Cybersecurity,Advanced,"Encryption, Hashing, Digital Signatures, PKI, Blockchain","Network Basics, OS Fundamentals",Advanced cryptographic concepts and applications,Dr. Michael Chen,800,129.99,Premium,4.7,12,60,3.76,,
CS005,Incident Response,Security,Cybersecurity,Advanced,"Forensics, Threat Hunting, Malware Analysis, Recovery Procedures",Ethical Hacking,Handle and investigate security incidents,Prof. Sarah Black,600,119.99,Premium,4.6,10,50,2.76,,
CS006,Cloud Security,Security,Cybersecurity,Advanced,"AWS Security, Azure Security, Compliance, Identity Management","Network Basics, Cloud Basics",Secure cloud infrastructure and applications,Dr. Kevin Rodriguez,900,139.99,Premium,4.5,14,70,4.05,,
CS007,Mobile Security,Security,Cybersecurity,Intermediate,"iOS Security, Android Security, App Security, Mobile Threats",Network Basics,Secure mobile applications and devices,Maria Thompson,1200,89.99,Premium,4.4,8,40,5.28,,
CS008,Web Application Security,Security,Cybersecurity,Advanced,"OWASP Top 10, SQL Injection, XSS, Secure Coding","Network Basics, Ethical Hacking",Secure web applications from common vulnerabilities,Dr. James Wilson,1000,109.99,Premium,4.7,12,60,4.7,,
CS009,Risk Assessment,Security,Cybersecurity,Intermediate,"Risk Analysis, Compliance, Audit, Security Frameworks",Network Basics,Assess and manage cybersecurity risks,Prof. Lisa Davis,1100,74.99,Mid-range,4.3,6,30,4.73,,
CS010,Digital Forensics,Forensics,Cybersecurity,Advanced,"Evidence Collection, Chain of Custody, Analysis Tools, Legal Issues",OS Fundamentals,Investigate digital crimes and incidents,Dr. Robert Garcia,500,159.99,Premium,4.8,16,80,2.4,,
CS011,Security Awareness,Training,Cybersecurity,Beginner,"Phishing, Social Engineering, Password Security, Best Practices",None,Build security awareness in organizations,Amanda Martinez,2400,39.99,Budget,4.2,4,20,10.08,,
CS012,Vulnerability Management,Security,Cybersecurity,Intermediate,"Vulnerability Scanning, Patch Management, Risk Prioritization",Network Basics,Manage and remediate security vulnerabilities,Dr. Steven Kim,800,84.99,Premium,4.4,8,40,3.52,,
CS013,Security Architecture,Architecture,Cybersecurity,Advanced,"Security Design, Zero Trust, Defense in Depth, Threat Modeling","Network Basics, OS Fundamentals",Design secure system architectures,Prof. Jennifer Chen,600,129.99,Premium,4.6,14,70,2.76,,
CS014,Compliance Management,Compliance,Cybersecurity,Intermediate,"GDPR, HIPAA, SOX, PCI DSS, Audit Preparation",Network Basics,Navigate cybersecurity compliance requirements,Dr. Carlos Brown,900,94.99,Premium,4.3,10,50,3.87,,
CS015,Malware Analysis,Security,Cybersecurity,Advanced,"Static Analysis, Dynamic Analysis, Reverse Engineering, Sandboxing",OS Fundamentals,Analyze and understand malicious software,Maria Rodriguez,400,149.99,Premium,4.7,12,60,1.88,,
GD003,Unreal Engine Basics,Game Engine,Game Development,Intermediate,"Unreal Interface, Blueprints, Materials, Lighting, Animation",Unity Basics,Create games with Unreal Engine,Dr. Tom Wilson,1200,99.99,Premium,4.6,14,70,5.52,,
GD004,2D Game Development,Game Development,Game Development,Beginner,"Sprite Animation, Collision Detection, Game Physics, UI Design",Basic Programming Knowledge,Create engaging 2D games from scratch,Jessica Martinez,1800,74.99,Mid-range,4.4,10,50,7.92,,
GD005,3D Game Programming,Programming,Game Development,Advanced,"3D Mathematics, Shaders, Optimization, Multiplayer Networking","Unity Basics, OOP Concepts",Advanced 3D game programming techniques,Prof. David Kim,1000,129.99,Premium,4.7,16,80,4.7,,
GD006,Game Art and Animation,Art,Game Development,Intermediate,"Character Design, Environment Art, Rigging, Animation Principles",Graphic Design Fundamentals,Create compelling game art and animations,Dr. Sarah Thompson,1400,89.99,Premium,4.5,12,60,6.3,,
GD007,Mobile Game Development,Mobile,Game Development,Intermediate,"Touch Controls, Mobile Optimization, App Store Deployment, Monetization",Unity Basics,Develop games for mobile platforms,Carlos Chen,1600,84.99,Premium,4.4,10,50,7.04,,
GD008,Game Audio Design,Audio,Game Development,Intermediate,"Sound Effects, Music Composition, Audio Implementation, Spatial Audio",Unity Basics,Create immersive game audio experiences,Prof. Lisa Garcia,800,79.99,Mid-range,4.3,8,40,3.44,,
GD009,Virtual Reality Games,VR,Game Development,Advanced,"VR Interaction, Comfort Settings, Spatial Design, VR Optimization","Unity Basics, 3D Game Programming",Develop immersive VR game experiences,Dr. Michael Davis,600,139.99,Premium,4.6,14,70,2.76,,
GD010,Game Marketing,Marketing,Game Development,Intermediate,"Steam Marketing, App Store Optimization, Community Building, PR",None,Market and promote your games effectively,Amanda Rodriguez,1200,64.99,Mid-range,4.2,6,30,5.04,,
GD011,Indie Game Business,Business,Game Development,Intermediate,"Game Monetization, Publishing, Legal Issues, Team Management",None,Navigate the business side of game development,Prof. Kevin Martinez,1000,74.99,Mid-range,4.3,8,40,4.3,,
GD012,Game Testing and QA,Testing,Game Development,Beginner,"Bug Tracking, Test Planning, User Testing, Quality Assurance",Unity Basics,Ensure game quality through systematic testing,Dr. Jennifer Wilson,1400,59.99,Mid-range,4.4,6,30,6.16,,
GD013,Multiplayer Game Development,Networking,Game Development,Advanced,"Network Architecture, Synchronization, Lag Compensation, Security","Unity Basics, 3D Game Programming",Build multiplayer games and systems,Prof. Robert Kim,800,149.99,Premium,4.7,16,80,3.76,,
GD014,Game Narrative Design,Writing,Game Development,Intermediate,"Storytelling, Character Development, Dialogue Systems, Branching Narratives",Game Mechanics,Craft compelling game stories and narratives,Dr. Angela Chen,1100,79.99,Mid-range,4.5,8,40,4.95,,
GD015,Game Localization,Localization,Game Development,Intermediate,"Translation, Cultural Adaptation, Testing, International Markets",None,Adapt games for global markets,Maria Brown,600,69.99,Mid-range,4.3,6,30,2.58,,
CC003,Microsoft Azure,Cloud Platform,Cloud,Intermediate,"Azure Services, Virtual Machines, Storage, Networking, DevOps",Cloud Basics,Master Microsoft Azure cloud platform,Dr. Lisa Thompson,2400,94.99,Premium,4.5,12,60,10.8,,
CC004,Google Cloud Platform,Cloud Platform,Cloud,Intermediate,"GCP Services, Compute Engine, Cloud Storage, BigQuery, Kubernetes",Cloud Basics,Get started with Google Cloud Platform,Prof. Kevin Davis,2000,89.99,Premium,4.4,12,60,8.8,,
CC005,Docker Fundamentals,Containerization,Cloud,Intermediate,"Containers, Docker Images, Dockerfile, Docker Compose, Registry",Cloud Basics,Master containerization with Docker,Dr. Sarah Martinez,2200,74.99,Mid-range,4.6,8,40,10.12,,
CC006,Kubernetes Mastery,Orchestration,Cloud,Advanced,"Pods, Services, Deployments, ConfigMaps, Secrets, Ingress",Docker Fundamentals,Orchestrate containers with Kubernetes,Prof. Michael Rodriguez,1600,119.99,Premium,4.7,14,70,7.52,,
CC007,Serverless Computing,Serverless,Cloud,Advanced,"Lambda Functions, API Gateway, Event-Driven Architecture, Microservices",Cloud Basics,Build serverless applications and architectures,Dr. Amanda Wilson,1400,99.99,Premium,4.5,10,50,6.3,,
CC008,Cloud DevOps,DevOps,Cloud,Advanced,"CI/CD, Infrastructure as Code, Monitoring, Automation","Cloud Basics, Docker Fundamentals",Implement DevOps practices in the cloud,Carlos Kim,1200,109.99,Premium,4.6,12,60,5.52,,
CC009,Cloud Storage Solutions,Storage,Cloud,Intermediate,"Object Storage, Block Storage, File Systems, Backup, Archiving",Cloud Basics,Implement cloud storage strategies,Dr. Jennifer Chen,1800,69.99,Mid-range,4.3,6,30,7.74,,
CC010,Cloud Networking,Networking,Cloud,Advanced,"VPC, Subnets, Load Balancers, CDN, Security Groups","Cloud Basics, Network Basics",Design and implement cloud networks,Prof. Robert Garcia,1000,89.99,Premium,4.4,10,50,4.4,,
CC011,Cloud Cost Optimization,Cost Management,Cloud,Intermediate,"Cost Analysis, Resource Optimization, Budgeting, Reserved Instances",Cloud Basics,Optimize cloud spending and resources,Maria Davis,1600,64.99,Mid-range,4.2,6,30,6.72,,
CC012,Cloud Migration,Migration,Cloud,Advanced,"Migration Strategies, Assessment, Planning, Execution, Optimization",Cloud Basics,Migrate applications and data to the cloud,Dr. Steven Martinez,800,129.99,Premium,4.5,14,70,3.6,,
CC013,Cloud Monitoring,Monitoring,Cloud,Intermediate,"Logging, Metrics, Alerting, Dashboards, Performance Monitoring",Cloud Basics,Monitor and troubleshoot cloud applications,Prof. Lisa Rodriguez,1200,79.99,Mid-range,4.4,8,40,5.28,,
CC014,Multi-Cloud Strategy,Strategy,Cloud,Advanced,"Cloud Comparison, Vendor Management, Hybrid Cloud, Risk Management","Cloud Basics, Intro to AWS",Implement multi-cloud architectures,Dr. Kevin Thompson,600,109.99,Premium,4.3,10,50,2.58,,
CC015,Cloud Disaster Recovery,Disaster Recovery,Cloud,Advanced,"Backup Strategies, RTO/RPO, Failover, Business Continuity",Cloud Basics,Implement disaster recovery in the cloud,Amanda Brown,1000,94.99,Premium,4.5,8,40,4.5,,
HR003,Talent Acquisition,Recruitment,Business,Intermediate,"Sourcing, Interviewing, Candidate Assessment, Onboarding",HR Fundamentals,Master modern talent acquisition strategies,Dr. Patricia Wilson,1200,69.99,Mid-range,4.4,8,40,5.28,,
HR004,Performance Management,Management,Business,Intermediate,"Goal Setting, Feedback, Performance Reviews, Development Planning",HR Fundamentals,Effective performance management systems,Prof. James Kim,1000,59.99,Mid-range,4.3,6,30,4.3,,
HR005,Employee Engagement,Engagement,Business,Intermediate,"Motivation, Retention, Culture, Communication, Recognition",HR Fundamentals,Build engaged and motivated teams,Dr. Sarah Garcia,1400,74.99,Mid-range,4.5,8,40,6.3,,
HR006,Compensation and Benefits,Compensation,Business,Advanced,"Salary Structures, Benefits Design, Equity, Market Analysis",HR Fundamentals,Design competitive compensation packages,Maria Chen,800,89.99,Premium,4.2,10,50,3.36,,
HR007,HR Analytics,Analytics,Business,Advanced,"People Analytics, Metrics, Reporting, Predictive Analytics","HR Fundamentals, Excel for Business",Use data to drive HR decisions and strategies,Dr. Michael Rodriguez,600,99.99,Premium,4.4,12,60,2.64,,
HR008,Labor Relations,Relations,Business,Advanced,"Union Relations, Collective Bargaining, Grievance Handling, Labor Law",HR Fundamentals,Navigate labor relations and union environments,Prof. Jennifer Davis,700,84.99,Premium,4.3,10,50,3.01,,
HR009,Diversity and Inclusion,Diversity,Business,Intermediate,"Inclusive Hiring, Bias Training, Cultural Competency, DEI Strategy",HR Fundamentals,Build diverse and inclusive workplaces,Dr. Lisa Martinez,1800,64.99,Mid-range,4.6,6,30,8.28,,
HR010,Training and Development,Training,Business,Intermediate,"Learning Design, Skills Assessment, Career Development, Coaching",HR Fundamentals,Develop effective training programs,Carlos Thompson,1200,69.99,Mid-range,4.4,8,40,5.28,,
HR011,Change Management,Change,Business,Advanced,"Change Models, Communication, Resistance Management, Culture Change",HR Fundamentals,Lead organizational change initiatives,Dr. Amanda Kim,1000,89.99,Premium,4.5,10,50,4.5,,
HR012,Employment Law,Legal,Business,Advanced,"Compliance, Documentation, Risk Management, Legal Updates",HR Fundamentals,Navigate employment law and compliance,Prof. Robert Wilson,900,79.99,Mid-range,4.3,8,40,3.87,,
HR013,HR Technology,Technology,Business,Intermediate,"HRIS, ATS, Performance Systems, Digital HR Transformation",HR Fundamentals,Leverage technology in HR operations,Maria Rodriguez,1100,64.99,Mid-range,4.2,6,30,4.62,,
HR014,Global HR Management,Global,Business,Advanced,"Cross-Cultural Management, International Law, Global Mobility",HR Fundamentals,Manage HR across international operations,Dr. Steven Chen,600,109.99,Premium,4.4,12,60,2.64,,
